no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
11,TRUE,0.3,sigmoid,nadam,100,10,18.93527681
1,TRUE,0.3,exponential,nadam,100,10,19.43405749
2,TRUE,0.3,exponential,nadam,100,10,21.54609304
3,TRUE,0.3,exponential,nadam,100,10,17.06951164
4,TRUE,0.3,exponential,nadam,100,10,15.57280279
5,TRUE,0.3,exponential,nadam,100,10,14.78459067
6,TRUE,0.3,exponential,nadam,100,10,18.12533981
7,TRUE,0.3,exponential,nadam,100,10,22.39975277
8,TRUE,0.3,exponential,nadam,100,10,27.76503663
9,TRUE,0.3,exponential,nadam,100,10,21.44502871
10,TRUE,0.3,exponential,nadam,100,10,11.78367424
11,TRUE,0.3,exponential,nadam,100,10,8.280677419
1,TRUE,0.3,elu,nadam,100,10,34.90741609
2,TRUE,0.3,elu,nadam,100,10,17.23861338
3,TRUE,0.3,elu,nadam,100,10,15.0440706
4,TRUE,0.3,elu,nadam,100,10,13.00188722
5,TRUE,0.3,elu,nadam,100,10,21.29133154
6,TRUE,0.3,elu,nadam,100,10,11.48163565
7,TRUE,0.3,elu,nadam,100,10,23.52267566
8,TRUE,0.3,elu,nadam,100,10,13.72364782
9,TRUE,0.3,elu,nadam,100,10,13.08528965
10,TRUE,0.3,elu,nadam,100,10,16.32581881
11,TRUE,0.3,elu,nadam,100,10,17.24319905
1,TRUE,0.3,linear,nadam,100,10,38.32042513
2,TRUE,0.3,linear,nadam,100,10,36.15189874
3,TRUE,0.3,linear,nadam,100,10,26.75039844
4,TRUE,0.3,linear,nadam,100,10,22.78964098
5,TRUE,0.3,linear,nadam,100,10,24.72530044
6,TRUE,0.3,linear,nadam,100,10,37.68088692
7,TRUE,0.3,linear,nadam,100,10,24.90951669
8,TRUE,0.3,linear,nadam,100,10,28.51065947
9,TRUE,0.3,linear,nadam,100,10,31.51921794
10,TRUE,0.3,linear,nadam,100,10,24.24545057
11,TRUE,0.3,linear,nadam,100,10,22.10802389
1,TRUE,0.3,relu,nadam,100,10,27.94927587
2,TRUE,0.3,relu,nadam,100,10,20.85492691
3,TRUE,0.3,relu,nadam,100,10,21.61861962
4,TRUE,0.3,relu,nadam,100,10,17.62612077
5,TRUE,0.3,relu,nadam,100,10,11.34678785
6,TRUE,0.3,relu,nadam,100,10,18.00971704
7,TRUE,0.3,relu,nadam,100,10,16.68631438
8,TRUE,0.3,relu,nadam,100,10,9.730187416
9,TRUE,0.3,relu,nadam,100,10,12.86549016
10,TRUE,0.3,relu,nadam,100,10,17.76423836
11,TRUE,0.3,relu,nadam,100,10,10.46832898
1,TRUE,0.3,tanh,nadam,100,10,23.79016003
2,TRUE,0.3,tanh,nadam,100,10,15.85287626
3,TRUE,0.3,tanh,nadam,100,10,12.92256742
4,TRUE,0.3,tanh,nadam,100,10,22.05902531
5,TRUE,0.3,tanh,nadam,100,10,13.0138224
6,TRUE,0.3,tanh,nadam,100,10,18.49357464
7,TRUE,0.3,tanh,nadam,100,10,15.46416865
8,TRUE,0.3,tanh,nadam,100,10,19.40298096
9,TRUE,0.3,tanh,nadam,100,10,24.67589158
10,TRUE,0.3,tanh,nadam,100,10,15.25561398
11,TRUE,0.3,tanh,nadam,100,10,16.08774685
1,TRUE,0.3,sigmoid,nadam,100,10,30.59432471
2,TRUE,0.3,sigmoid,nadam,100,10,16.5436836
3,TRUE,0.3,sigmoid,nadam,100,10,22.82146981
4,TRUE,0.3,sigmoid,nadam,100,10,22.33997721
5,TRUE,0.3,sigmoid,nadam,100,10,14.87634355
